"Maker","BeanOrigin","REF","ReviewDate","CocoaPercentage","CompanyLocation","Rating","RatingLevel"
"Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Low"
"Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"High"
"Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"Low"
"Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"High"
"Arete","Chuno",1598,2015,70,"U.S.A.",4,"High"
"Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,"Low"
"Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"Low"
"Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"Low"
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Low"
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"High"
"Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"High"
"Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,"Low"
"Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"Low"
"Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"High"
"Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"Low"
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Low"
"Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"Low"
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Low"
"Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Low"
"Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"Low"
"Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Low"
"Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Low"
"Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Low"
"Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"High"
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Low"
"Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"High"
"Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"High"
"Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"High"
"Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"High"
"Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Low"
"Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Low"
"Bahen & Co.","Houseblend",1474,2015,80,"Australia",3.25,"Low"
"Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"Low"
"Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Low"
"Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"Low"
"Bahen & Co.","Houseblend",999,2012,70,"Australia",2.5,"Low"
"Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,"Low"
"Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"Low"
"Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"Low"
"Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"High"
"Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"Low"
"Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"Low"
"Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"High"
"Baravelli's","single estate",955,2012,80,"Wales",2.75,"Low"
"Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"Low"
"Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"High"
"Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"Low"
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"Low"
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"Low"
"Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,"Low"
"Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,"Low"
"Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,"Low"
"Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,"Low"
"Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,"Low"
"Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,"Low"
"Belcolade","Peru",586,2010,64,"Belgium",2.75,"Low"
"Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"Low"
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Low"
"Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"Low"
"Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"Low"
"Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Low"
"Belyzium","Belize south",1768,2016,78,"Germany",3,"Low"
"Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Low"
"Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Low"
"Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Low"
"Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Low"
"Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"High"
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"High"
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"High"
"Bernachon","Nature",797,2012,55,"France",2.75,"Low"
"Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Low"
"Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Low"
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"Low"
"Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"High"
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Low"
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Low"
"Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"Low"
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"Low"
"Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"Low"
"Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"Low"
"Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"Low"
"Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Low"
"Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Low"
"Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"Low"
"Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"High"
"Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,"Low"
"Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Low"
"Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Low"
"Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"Low"
"Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"Low"
"Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Low"
"Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Low"
"Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Low"
"Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"Low"
"Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"High"
"Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Low"
"Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,"Low"
"Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Low"
"Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"Low"
"Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Low"
"Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Low"
"Blanxart","Organic Dark",322,2009,72,"Spain",2.75,"Low"
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Low"
"Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,"Low"
"Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"Low"
"Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"Low"
"Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"Low"
"Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"High"
"Bonnat","Selva Maya",1912,2016,75,"France",3.5,"Low"
"Bonnat","Kaori",1339,2014,75,"France",4,"High"
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"Low"
"Bonnat","Surfin",1418,2014,65,"France",3.75,"High"
"Bonnat","Maragnam",1038,2013,75,"France",3.5,"Low"
"Bonnat","Gabon",1042,2013,75,"France",3.25,"Low"
"Bonnat","Cuba",629,2011,75,"France",3.5,"Low"
"Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"Low"
"Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Low"
"Bonnat","Libanio",629,2011,75,"France",3.75,"High"
"Bonnat","Haiti",629,2011,75,"France",4,"High"
"Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"High"
"Bonnat","Juliana",672,2011,75,"France",3.5,"Low"
"Bonnat","Jamaique",761,2011,75,"France",3.25,"Low"
"Bonnat","Ivory Coast",331,2009,75,"France",3,"Low"
"Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Low"
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Low"
"Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Low"
"Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"High"
"Bonnat","Equateur",123,2007,75,"France",2.5,"Low"
"Bonnat","Trinite",24,2006,75,"France",3.75,"High"
"Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"High"
"Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"High"
"Bonnat","Madagascar",75,2006,75,"France",4,"High"
"Bonnat","One Hundred",81,2006,100,"France",1.5,"Low"
"Bonnat","Ceylan",81,2006,75,"France",3,"Low"
"Bonnat","Chuao",81,2006,75,"France",4,"High"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Low"
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Low"
"Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Low"
"Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,"Low"
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Low"
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"High"
"Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"High"
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"High"
"Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"High"
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Low"
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"Low"
"Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Low"
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Low"
"Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,"Low"
"Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,"Low"
"Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,"Low"
"Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,"Low"
"Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Low"
"Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,"Low"
"Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Low"
"Bright","Somia Plantation",1231,2014,72,"Australia",3,"Low"
"Bright","Marabel Farms",1231,2014,70,"Australia",3.5,"Low"
"Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,"Low"
"Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Low"
"Britarev","Ecuador",1638,2015,70,"Russia",3.25,"Low"
"Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,"Low"
"Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Low"
"Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,"Low"
"Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Low"
"Burnt Fork Bend","Blend",1303,2014,72,"U.S.A.",3.25,"Low"
"Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,"Low"
"Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,"Low"
"Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Low"
"Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,"Low"
"Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,"Low"
"Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,"Low"
"Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Low"
"Cacao Barry","Santo Domingo",586,2010,70,"France",3,"Low"
"Cacao Barry","Tanzania",300,2008,75,"France",2,"Low"
"Cacao Barry","Venezuela",141,2007,72,"France",2,"Low"
"Cacao Barry","Mexico",147,2007,66,"France",3,"Low"
"Cacao de Origen","Chuao",1688,2015,77,"Venezuela",3.5,"Low"
"Cacao de Origen","Rio Caribe",1692,2015,75,"Venezuela",3.25,"Low"
"Cacao de Origen","Agua Fria; Sucre region",1391,2014,75,"Venezuela",2.5,"Low"
"Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,74,"Venezuela",3.25,"Low"
"Cacao de Origen","Chuao, Aragua region",1391,2014,75,"Venezuela",3.5,"Low"
"Cacao de Origen","Chuao, Aragua region",1395,2014,70,"Venezuela",3.75,"High"
"Cacao de Origin","Hacienda la Trinidad",1668,2015,74,"Venezuela",3.25,"Low"
"Cacao Hunters","Macondo",1816,2016,71,"Colombia",3.75,"High"
"Cacao Hunters","Perla Negra",1816,2016,74,"Colombia",3.75,"High"
"Cacao Hunters","Arhuacos",1662,2015,72,"Colombia",3.75,"High"
"Cacao Hunters","Sierra Nevada",1430,2014,64,"Colombia",3.5,"Low"
"Cacao Hunters","Tumaco",1430,2014,70,"Colombia",3.5,"Low"
"Cacao Hunters","Boyaca, Aprocampa Coop, Pauna",1434,2014,69,"Colombia",2.75,"Low"
"Cacao Hunters","Arauca",1434,2014,70,"Colombia",3.25,"Low"
"Cacao Market","Jutiapa, lot 050916D",1860,2016,70,"U.S.A.",3.5,"Low"
"Cacao Prieto","Criollo, Dominican Republic",991,2012,72,"U.S.A.",3.75,"High"
"Cacao Prieto","Dominican Republicm, rustic",641,2011,72,"U.S.A.",3,"Low"
"Cacao Prieto","Dominican Republic",641,2011,66,"U.S.A.",3.75,"High"
"Cacao Prieto","Dominican Republic, rustic",647,2011,65,"U.S.A.",3.25,"Low"
"Cacao Sampaka","Mahali, Kasai",1908,2016,70,"Spain",3.5,"Low"
"Cacao Sampaka","Madagascar",508,2010,71,"Spain",3.5,"Low"
"Cacao Sampaka","Ecuador",523,2010,71,"Spain",3.75,"High"
"Cacao Sampaka","Papua",523,2010,71,"Spain",4,"High"
"Cacao Sampaka","Grenada",537,2010,71,"Spain",3.25,"Low"
"Cacao Sampaka","Venezuela",537,2010,71,"Spain",3.5,"Low"
"Cacao Sampaka","Venezuela",537,2010,77,"Spain",3.5,"Low"
"Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,70,"Spain",4,"High"
"Cacao Sampaka","Xoconusco, Chiapas",346,2009,70,"Spain",4,"High"
"Cacao Store","Madagascar",1684,2015,70,"Japan",3,"Low"
"Cacao Store","Peru",1684,2015,70,"Japan",3.25,"Low"
"Cacao Store","Vietnam",1684,2015,70,"Japan",3.5,"Low"
"Cacaosuyo (Theobroma Inversiones)","Piura",1173,2013,70,"Peru",3.25,"Low"
"Cacaoyere (Ecuatoriana)","Amazonia",237,2008,63,"Ecuador",3.5,"Low"
"Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,71,"Ecuador",3.5,"Low"
"Cacaoyere (Ecuatoriana)","Bolivar",245,2008,82,"Ecuador",2.5,"Low"
"Cacaoyere (Ecuatoriana)","Pichincha",259,2008,91,"Ecuador",1.5,"Low"
"Callebaut","Grenade",296,2008,60,"Belgium",2.75,"Low"
"Callebaut","Baking",141,2007,70,"Belgium",1,"Low"
"C-Amaro","Cuba",1442,2014,75,"Italy",2.5,"Low"
"C-Amaro","Dominican Republic",1442,2014,72,"Italy",3,"Low"
"C-Amaro","Lago di Como, Blu",1442,2014,70,"Italy",3.5,"Low"
"C-Amaro","Ecuador",1185,2013,100,"Italy",3.5,"Low"
"C-Amaro","Venezuela",809,2012,80,"Italy",3,"Low"
"C-Amaro","Sao Tome",749,2011,78,"Italy",2.25,"Low"
"C-Amaro","Trinidad",765,2011,70,"Italy",2.5,"Low"
"Cao","Porcelana",1804,2016,75,"U.S.A.",2.5,"Low"
"Cao","Tanzania",1804,2016,73,"U.S.A.",2.75,"Low"
"Cao","Porcelana, Batch 5163",1804,2016,70,"U.S.A.",3,"Low"
"Cao","Bolivia",1808,2016,75,"U.S.A.",3,"Low"
"Cao","Brazil",1808,2016,70,"U.S.A.",3.25,"Low"
"Caoni (Tulicorp)","Esmeraldas",237,2008,77,"Ecuador",2,"Low"
"Caoni (Tulicorp)","Manabi",237,2008,77,"Ecuador",2.5,"Low"
"Caoni (Tulicorp)","Los Rios",245,2008,77,"Ecuador",2.75,"Low"
"Caoni (Tulicorp)","Manabi",266,2008,55,"Ecuador",3,"Low"
"Caoni (Tulicorp)","Los Rios",269,2008,55,"Ecuador",3.25,"Low"
"Caoni (Tulicorp)","Esmeraldas",269,2008,55,"Ecuador",3.5,"Low"
"Captain Pembleton","Saidor Estate, Madang P.",1263,2014,70,"New Zealand",3.5,"Low"
"Captain Pembleton","Kulili Estate",1263,2014,70,"New Zealand",3.75,"High"
"Caribeans","Antigua, Special Reserve",1582,2015,72,"Costa Rica",3.5,"Low"
"Caribeans","Talamanca, Raul-Kekoldo community",1586,2015,72,"Costa Rica",3.25,"Low"
"Caribeans","Anselmo Paraiso Estate",1586,2015,72,"Costa Rica",3.5,"Low"
"Caribeans","Costa Rica",841,2012,72,"Costa Rica",3,"Low"
"Caribeans","Costa Rica",845,2012,80,"Costa Rica",2.75,"Low"
